央视频道,#genre#
CCTV1HD,http://192.168.2.211:4022/udp/239.253.234.77:8000
CCTV2HD,http://192.168.2.211:4022/udp/239.253.234.232:8000
CCTV3HD,http://192.168.2.211:4022/udp/239.253.234.191:8000
CCTV4HD,http://192.168.2.211:4022/udp/239.253.234.111:8000
CCTV5HD,http://192.168.2.211:4022/udp/239.253.234.192:8000
CCTV5+HD,http://192.168.2.211:4022/udp/239.253.234.80:8000
CCTV6HD,http://192.168.2.211:4022/udp/239.253.234.193:8000
CCTV7HD,http://192.168.2.211:4022/udp/239.253.234.233:8000
CCTV8HD,http://192.168.2.211:4022/udp/239.253.234.194:8000
CCTV9HD,http://192.168.2.211:4022/udp/239.253.234.79:8000
CCTV10HD,http://192.168.2.211:4022/udp/239.253.234.234:8000
CCTV11HD,http://192.168.2.211:4022/udp/239.253.234.169:8000
CCTV12HD,http://192.168.2.211:4022/udp/239.253.234.235:8000
CCTV13HD,http://192.168.2.211:4022/udp/239.253.234.175:8000
CCTV14HD,http://192.168.2.211:4022/udp/239.253.234.236:8000
CCTV15HD,http://192.168.2.211:4022/udp/239.253.234.170:8000
CCTV17HD,http://192.168.2.211:4022/udp/239.253.234.168:8000
CCTV4K超高清,http://192.168.2.211:4022/udp/239.253.234.122:8000
CCTV4中文国际欧洲,http://192.168.2.211:4022/udp/239.253.234.186:8000
CCTV4中文国际美洲,http://192.168.2.211:4022/udp/239.253.234.187:8000
CGTN英文纪录,http://192.168.2.211:4022/udp/239.253.234.188:8000
CGTN西班牙语,http://192.168.2.211:4022/udp/239.253.234.182:8000
CGTN法语,http://192.168.2.211:4022/udp/239.253.234.183:8000
CGTN阿拉伯语,http://192.168.2.211:4022/udp/239.253.234.184:8000
CGTN俄语,http://192.168.2.211:4022/udp/239.253.234.185:8000
卫视频道,#genre#
浙江卫视HD,http://192.168.2.211:4022/udp/239.253.234.84:8000
湖南卫视HD,http://192.168.2.211:4022/udp/239.253.234.82:8000
江苏卫视HD,http://192.168.2.211:4022/udp/239.253.234.83:8000
东方卫视HD,http://192.168.2.211:4022/udp/239.253.234.86:8000
北京卫视HD,http://192.168.2.211:4022/udp/239.253.234.85:8000
山东卫视HD,http://192.168.2.211:4022/udp/239.253.234.78:8000
广东卫视HD,http://192.168.2.211:4022/udp/239.253.234.90:8000
深圳卫视HD,http://192.168.2.211:4022/udp/239.253.234.91:8000
安徽卫视HD,http://192.168.2.211:4022/udp/239.253.234.87:8000
黑龙江卫视HD,http://192.168.2.211:4022/udp/239.253.234.93:8000
湖北卫视HD,http://192.168.2.211:4022/udp/239.253.234.88:8000
辽宁卫视HD,http://192.168.2.211:4022/udp/239.253.234.92:8000
东南卫视HD,http://192.168.2.211:4022/udp/239.253.234.105:8000
天津卫视HD,http://192.168.2.211:4022/udp/239.253.234.89:8000
贵州卫视HD,http://192.168.2.211:4022/udp/239.253.234.113:8000
江西卫视HD,http://192.168.2.211:4022/udp/239.253.234.47:8000
河北卫视HD,http://192.168.2.211:4022/udp/239.253.234.112:8000
陕西卫视,http://192.168.2.211:4022/udp/239.253.234.49:8000
重庆卫视HD,http://192.168.2.211:4022/udp/239.253.234.38:8000
中国教育1台HD,http://192.168.2.211:4022/udp/239.253.234.110:8000
旅游卫视HD,http://192.168.2.211:4022/udp/239.253.234.179:8000
山西卫视,http://192.168.2.211:4022/udp/239.253.234.48:8000
四川卫视HD,http://192.168.2.211:4022/udp/239.253.234.180:8000
吉林卫视,http://192.168.2.211:4022/udp/239.253.234.173:8000
河南卫视HD,http://192.168.2.211:4022/udp/239.253.234.190:8000
广西卫视,http://192.168.2.211:4022/udp/239.253.234.197:8000
云南卫视,http://192.168.2.211:4022/udp/239.253.234.196:8000
内蒙古卫视,http://192.168.2.211:4022/udp/239.253.234.58:8000
青海卫视,http://192.168.2.211:4022/udp/239.253.234.195:8000
宁夏卫视,http://192.168.2.211:4022/udp/239.253.234.53:8000
新疆卫视,http://192.168.2.211:4022/udp/239.253.234.60:8000
西藏卫视,http://192.168.2.211:4022/udp/239.253.234.56:8000
甘肃卫视HD,http://192.168.2.211:4022/udp/239.253.234.74:8000
三沙卫视,http://192.168.2.211:4022/udp/239.253.234.171:8000
本地频道,#genre#
山东体育HD,http://192.168.2.211:4022/udp/239.253.234.22:8000
山东齐鲁HD,http://192.168.2.211:4022/udp/239.253.234.114:8000
山东文旅HD,http://192.168.2.211:4022/udp/239.253.234.160:8000
山东新闻HD,http://192.168.2.211:4022/udp/239.253.234.23:8000
山东综艺HD,http://192.168.2.211:4022/udp/239.253.234.21:8000
山东生活HD,http://192.168.2.211:4022/udp/239.253.234.151:8000
山东影视HD,http://192.168.2.211:4022/udp/239.253.234.19:8000
山东少儿HD,http://192.168.2.211:4022/udp/239.253.234.25:8000
山东教育HD,http://192.168.2.211:4022/udp/239.253.234.59:8000
山东农科HD,http://192.168.2.211:4022/udp/239.253.234.24:8000
邹平新闻,http://192.168.2.211:4022/udp/239.253.234.238:8000
滨州综合,http://192.168.2.211:4022/udp/239.253.234.253:8000
滨州民生,http://192.168.2.211:4022/udp/239.253.234.254:8000
惠民综合,http://192.168.2.211:4022/udp/239.253.234.241:8000
无棣新闻,http://192.168.2.211:4022/udp/239.253.234.244:8000
阳信新闻,http://192.168.2.211:4022/udp/239.253.234.242:8000
沾化新闻,http://192.168.2.211:4022/udp/239.253.234.243:8000
博兴综合,http://192.168.2.211:4022/udp/239.253.234.252:8000
特色频道,#genre#
海洋频道HD,http://192.168.2.211:4022/udp/239.253.234.67:8000
金鹰纪实高清,http://192.168.2.211:4022/udp/239.253.234.103:8000
金鹰卡通,http://192.168.2.211:4022/udp/239.253.234.117:8000
嘉佳卡通,http://192.168.2.211:4022/udp/239.253.234.65:8000
KAKU少儿,http://192.168.2.211:4022/udp/239.253.234.66:8000
优漫卡通,http://192.168.2.211:4022/udp/239.253.234.64:8000
哈哈炫动,http://192.168.2.211:4022/udp/239.253.234.63:8000
金鹰纪实HD,http://192.168.2.211:4022/udp/239.253.234.103:8000
上海纪实HD,http://192.168.2.211:4022/udp/239.253.234.81:8000
爱体育高清,http://192.168.2.211:4022/udp/239.253.234.109:8000
都市剧场,http://192.168.2.211:4022/udp/239.253.234.178:8000
CHC家庭电影HD,http://192.168.2.211:4022/udp/239.253.234.152:8000
CHC动作电影HD,http://192.168.2.211:4022/udp/239.253.234.153:8000
CHC高清电影HD,http://192.168.2.211:4022/udp/239.253.234.154:8000
爱上4KUHD,http://192.168.2.211:4022/udp/239.253.234.102:8000
IPTV5+HD,http://192.168.2.211:4022/udp/239.253.234.131:8000
IPTV3+,http://192.168.2.211:4022/udp/239.253.234.129:8000
IPTV6+,http://192.168.2.211:4022/udp/239.253.234.128:8000
IPTV8+,http://192.168.2.211:4022/udp/239.253.234.132:8000
IPTV经典电影,http://192.168.2.211:4022/udp/239.253.234.126:8000
IPTV热播剧场,http://192.168.2.211:4022/udp/239.253.234.125:8000
IPTV少儿动画,http://192.168.2.211:4022/udp/239.253.234.127:8000
IPTV魅力时尚,http://192.168.2.211:4022/udp/239.253.234.130:8000
IPTV收视指南,http://192.168.2.211:4022/udp/239.253.234.124:8000
IPTV谍战剧场,http://192.168.2.211:4022/udp/239.253.234.135:8000
IPTV相声小品,http://192.168.2.211:4022/udp/239.253.234.136:8000
IPTV野外,http://192.168.2.211:4022/udp/239.253.234.137:8000
IPTV法治,http://192.168.2.211:4022/udp/239.253.234.138:8000
音乐现场,http://192.168.2.211:4022/udp/239.253.234.202:8000
CETV1高清,http://192.168.2.211:4022/udp/239.253.234.110:8000
CETV2,http://192.168.2.211:4022/udp/239.253.234.107:8000
中国教育-4高清,http://192.168.2.211:4022/udp/239.253.234.116:8000
动漫秀场高清,http://192.168.2.211:4022/udp/239.253.234.115:8000
金色学堂高清,http://192.168.2.211:4022/udp/239.253.234.101:8000
魅力足球高清,http://192.168.2.211:4022/udp/239.253.234.100:8000
生活时尚高清,http://192.168.2.211:4022/udp/239.253.234.99:8000
都市剧场高清,http://192.168.2.211:4022/udp/239.253.234.98:8000
乐游高清,http://192.168.2.211:4022/udp/239.253.234.97:8000
法治天地高清,http://192.168.2.211:4022/udp/239.253.234.96:8000
游戏风云高清,http://192.168.2.211:4022/udp/239.253.234.95:8000
东方财经高清,http://192.168.2.211:4022/udp/239.253.234.94:8000
梨园高清,http://192.168.2.211:4022/udp/239.253.234.139:8000
武术世界高清,http://192.168.2.211:4022/udp/239.253.234.140:8000
文物宝库高清,http://192.168.2.211:4022/udp/239.253.234.141:8000
精彩影视高清,http://192.168.2.211:4022/udp/239.253.234.142:8000
茶高清,http://192.168.2.211:4022/udp/239.253.234.143:8000
